claim,Label
World Bank approves $12 billion for COVID19 vaccines,1
"Moderna shares COVID19 vaccine trial blueprints, Pfizer follows",1
Exgeneral presents militaryenabled COVID19 vaccine plan for PH,1
Russia registers new COVID19 vaccine as cases hit record high,1
What we know about the Philippines COVID19 vaccine plans,1
What is the best way to share out a future COVID19 vaccine,1
Duterte still keen on Russian COVID19 vaccine despite experts' warnings,1
"After Duterte vouches for Russia, DOST vows all COVID19 vaccines 'on equal footing'",1
Major COVID19 vaccine trial resumes in UK after safety review,1
Gov't expert says earliest time PH can get COVID19 vaccine is April to June 2021,1
Robredo hits Duterte SONA Don't just wait for COVID19 vaccine,1
Rich nations have cornered half of future COVID19 vaccine supply  Oxfam,1
China shows off COVID19 vaccines for first time,1
COVID19 vaccine in the Philippines expected April 2021  FDA  Evening wRap,1
"Despite clinical trials, PH needs to compete with other countries for vaccine",1
Duterte pleads with Xi Jinping Prioritize PH for COVID19 vaccine,1
Canada secures deals for millions of COVID19 vaccine doses,1
Moderna COVID19 vaccine enters final stage trial this month,1
China says COVID19 vaccine could be ready for public by November,1
The race for a COVID19 vaccine heats up,1
PH forms task group for distributing COVID19 vaccines,1
DOH short of P10 billion for COVID19 vaccines,1
Duterte wants governmenttogovernment deal for COVID19 vaccine,1
"Canadian employers, facing labor shortage, accommodate the unvaccinated. Job vacancies in Canada have doubled so far in 2021 and COVID19 vaccine mandates can make filling those jobs harder",1
"South Korea to vaccinate 12 to 17 yearolds, give boosters to elderly. South Korea aims to boost vaccination and fully immunize 90% of those aged 60 and older, and 80% of 18 to 59 yearsold by the end of October",1
"Govt aims to vaccinate 70% of population by February election period. A little over 30% of the country's eligible population are fullyvaccinated, four months before February 2022",1
Zamboanga City sets up biggest vaccination site at bus terminal. A Zamboanga City government official says the wide open spaces at the terminal is perfect for social distancing,1
Businesses cant compel staff to get vaccinated  Guevarra. Justice Secretary Menardo Guevarra says he disagrees with Labor Secretary Silvestre Bello III's earlier statement that the IATF resolution allows businesses to hold unvaccinated workers' pay,1
"Japans Moderna vaccine contamination woes widen as 1 million more shots withdrawn. The suspension of Moderna supplies, more than 2.6 million does in total, comes as Japan battles its worst wave of COVID19 yet",1
85% of target population in Metro Manila now fully vaccinated. The governments target is only 70% of the actual population. The actual vaccination rate in Metro Manila is at around 59%.,1
"Low vaccination rate of General Santos seniors blamed on thin supplies, misinformation. The city government's Office of the Senior Citizens Affairs is helping promote correct information about COVID19 vaccines especially in farflung barangays to convince the elderly and their families to get jabs",1
"Thailand cites positive results from SinovacAstraZeneca vaccine formula. Senior health official Supakit Sirilak says Thailand, which has been manufacturing the AstraZeneca vaccine, will no longer be giving two doses of Sinovac's CoronaVac",1
Thinking of getting a booster shot Heres useful information. 3rd UPDATE Check this guide for how you could get a booster and what you should expect after,1
Third dose vs booster shot Whats the difference. What additional COVID19 shots are called  a third dose or a booster dose  depends on the group of people who will be receiving them and what theyre intended for,1
Bahrain approves third booster shot of Sputnik V vaccine. This is the first time that the Russian shot has been approved for a third dose,1
"US data show rising breakthrough infections among fully vaccinated. The vaccines did, however, protect individuals from more severe cases",1
Eleven states sue US government over vaccine mandate for federal contractors. 1st UPDATE The  joint lawsuit of 11 states with Republican governors describe the mandate as 'sweeping in its scope' and 'unconstitutional and unlawful',1
US CDC advisors to weigh limits on JJ vaccine due to blood clot issues  report. The CDC's Advisory Committee on Immunization Practices will be presented new data that appears to show the rate of clots in people who received the Johnson  Johnson vaccine has increased since April,1
"United Airlines accused of refusing employee exemptions to vaccine mandate. Six United employees file a class action, claiming that workers who sought exemptions from the airline's vaccine mandate were subjected to intrusive inquiries",1
"Galvez sitting on private sector, LGU orders for 10M vaccine doses  deputy speaker. A House panel will look into the multiparty agreements and the delays resulting from the unsigned purchase orders on September 7, says Deputy Speaker Rufus Rodriguez",1
"WATCH MMDA chief on booster shots, vaccine entry requirements for Metro Manila. MMDA chairman Benhur Abalos points to Singapore, where the high vaccination rate has led to more freedoms for vaccinated people",1
"As holidays draw near, Duterte asks Filipinos to join national vaccination days. 1st UPDATE President Rodrigo Duterte says those who refuse to get their COVID19 jabs should not be allowed inside restaurants, resorts",1
"General Santos moves to inoculate 100,000 residents in 3 days. 'We only need to vaccinate at least 55 in every purok, and we can hit our target,' says city health officer Dr. Rochelle Oco",1
"Kapitan Tambay draws attention to vaccine disinformation, data awareness. In 'Pass The Message Bakuna edition,' Kapitan Tambay illustrates how factual information can be distorted or misinterpreted",1
"Galvez Companies can use vaccine orders for boosters, but follow prioritization. Philippine health authorities are also waiting for the recommendation of the World Health Organization's Strategic Advisory Group of Experts before opening the booster rollout to more groups",1
"Extreme vaccine discrimination risks leaving Africa behind  report. Only five of Africa's 54 countries are on track to reach a World Health Organization target of fully vaccinating 40% of the population by end2021, the Mo Ibrahim Foundation says",1
Cavite province sets mobility curbs on unvaccinated persons. Unvaccinated individuals need to  take an RTPCR test every two weeks at their own expense and present a negative result to their workplaces,1
"JJ to spin off consumer products, focus on pharmaceuticals. 1st UPDATE Johnson  Johnson aims to complete the separation in 18 to 24 months at a cost of $500 million to $1 billion",1
"US FDA advisers back Moderna boosters for older, highrisk people. The vote to back Moderna's booster is 190",1
"Govt to postpone 2nd leg of  national vaccine drive in areas facing typhoon threat. 'Kailangan natin mailayo sa peligro ang ating mga kababayan dahil sa bagyong Odette,' says Health Secretary Francisco Duque",1
Bulgarias daily coronavirus infections at record high. Bulgaria's centrist government appeals to vaccinesceptics by offering a onetime cash reward to pensioners who get vaccinated,1
"Thailand seeks 12 million Sinovac shots for mixandmatch vaccine strategy. 'A first shot of Sinovac followed by AstraZeneca significantly boosts immunity,' says a senior health official at Thailand's Department of Disease Control",1
"Cebu City sets new rules for unvaccinated, partially vaccinated residents. 'All establishments, institutions, and entities whether private or public are enjoined to disseminate information that they will only cater, allow entry, and access to fully vaccinated clients and individuals starting January 1, 2022,' Mayor Michael Rama says in his new directive",1
"Responding to Kyrgios, Djokovic reiterates freedom of choice on vaccine. Novak Djokovic's participation in the 2022 Australian Open remains  uncertain",1
Unvaccinated people in Metro Manila now prohibited from going outside. Unvaccinated individuals are banned outside of their residences except when buying essential goods,1
"Japan finds stainless steel particles in suspended doses of Moderna vaccine. 'Stainless steel is routinely used in heart valves, joint replacements and metal sutures and staples... it is not expected that injection of the particles... would result in increased medical risk,' says a statement by Moderna",1
"What the surge fueled by the Delta variant taught us. Consider how to protect those people who cant take vaccines or in whom vaccines dont work well, says Asian Development Bank senior health specialist Ben Coghlan",1
"France suspends 3,000 health staff as Europe targets vaccine refusal. Nearly 450 health workers have been suspended in just one hospital in the city of Nice, in southern France. The government, however, shrugs off the impact.",1
"From Boeing to Mercedes, a US worker rebellion swells over vaccine mandates. Many legal experts have said vaccine mandates in the interest of public health are legal. But some workers in the US are protesting, saying that the government should not meddle in personal health decisions.",1
"All aboard! Thai bus brings vaccines to Bangkoks vulnerable. In an effort to reach those who find it hard to travel far from their homes, the Bangkok city administration creates a bus equipped with a mobile vaccination team",1
"House leader accuses government of playing God on vaccine orders. Deputy Speaker Rufus Rodriguez says the national government wants 'to protect the LGUs, but the LGUs are protecting themselves. They have local autonomy. They know better how to be able to protect their money.'",1
Hong Kong authorizes Sinovac vaccine for children aged 3 to 17. Hong Kong's Secretary for Food and Health Sophia Chan says the benefits 'outweigh the risks',1
Catanduanes governor thanks Robredo for vaccine aid. Catanduanes Governor Joseph 'Boboy' Cua appeals for more COVID19 vaccines,1
UKs Johnson warns of hospital risk for unvaccinated. UPDATED United Kingdom Prime Minister Boris Johnson urges people to celebrate New Year's Eve cautiously,1
"UAE lifts ban on entry from certain countries for vaccinated residents. Approval must be sought from the UAE government to return, and various PCR tests must be taken",1
"Southeast Asia needs vaccine access to curb record deaths  Red Cross. In recent weeks the region has seen the highest deaths globally, as soaring infections push fragile healthcare systems to the brink and expose sluggish vaccination rollouts",1
"Republican governors lead attack on Biden vaccine mandate. The states of Florida, Georgia, and Alabama jointly sue in the 11th US Circuit Court of Appeals in Atlanta, a day after President Joe Biden announced he will enforce the mandate starting January 4",1
"Tagaytay opens vaccination to residents of other Cavite cities, towns. The municipality of MendezNuez and the city of Dasmarias are about to reach their targets as well",1
"JJ bullish on 2021 profits, keeps vaccine sales outlook unchanged. Johnson  Johnson still expects to sell $2.5 billion worth of COVID19 vaccine doses in 2021, though it is behind its schedule for deliveries in the United States and Europe",1
"Bacolod vaccinates 920 minors, sets swing of schools. Bacolod health officials say the positive response is the result of a strong clamor from the youth and their parents, a far cry from the initial resistance shown by adults in the first phase of the vaccination drive",1
"Tagaytay completes target vaccination goals. While Tagaytay City aimed for the vaccination of 58,324 residents, its numbers are already at 58,636, or 100.53% of its target population",1
"Australia hits magnificent milestone with 80% rate of vaccinations. 'That's four out of five, how good is that This has been a true Australian national effort,' says Prime Minister Scott Morrison",1
"Biden pledges new vaccine donations in bid to rally global pandemic fight. Joe Biden hopes to show he is leading by example with the pledge, which will bring US donations to the rest of the world up to more than 1.1 billion doses",1
14 US attorneys general press Facebook on vaccine disinformation. The attorneys general want to know if the COVID19 'Disinfomation Dozen' are exempt from some of Facebook's rules,1
"Asia supercharges vaccination efforts after slow start, US lags. Japan and South Korea have passed the United States in terms of those who have received at least one dose and are fast catching up with the second",1
"South Korea parents unions protest over student vaccine pass mandate. Starting February 2022, anyone aged 12 years or older in South Korea will have to show a vaccine pass to enter public spaces, including libraries and study cafes",1
Thousands protest in Vienna against mandatory vaccination. Austria is the first country in Europe to make COVID19 vaccines mandatory,1
Moderna now allowed for ages 1217  Evening wRap. Watch Rapplers evening newscast with Ralf Rivas,1
United says about 90% of US staff vaccinated ahead of company deadline. United Airlines has taken a tough stance on employees who decline to get vaccinated against COVID19,1
"Firdausi Qadri Battling pandemics through vaccines and research. Bangladeshi scientist Firdausi Qadri is honored as a 2021 Ramon Magsaysay awardee for her work in the fight against cholera and typhoid, and for her dedication to local capacitybuilding, among others",1
"Western Visayas vax blitz churns out 600,000 jabs. Negros Occidental tops number of jabs administered with 213,291. The Western Visayas total represents 74.88% of the target for the 3day inoculation drive.",1
"More Canadian businesses will embrace vaccine mandates for workers  minister. Anita Anand, who Canadian Prime Minister Justin Trudeau calls his 'minister of vaccines,' says the safety of the workforce would ultimately outweigh concerns over individual privacy rights",1
"After hesitation, Warriors Andrew Wiggins gets vaccinated. Warriors coach Steve Kerr confirms that Andrew Wiggins is now inoculated and will play in Golden State's preseason games",1
"AstraZeneca to set up division for vaccines and antibody therapies. The new division will combine research and development, manufacturing, as well as commercial and medical teams",1
"242 breakthrough infections recorded in 13.8M fully vaccinated  FDA. 'Saan ka pa tataya Kung wala tayong bakuna laban sa COVID19, mas marami pa ang puwedeng makakuha ng malalang sakit,' says Food and Drug Administration chief Eric Domingo",1
Tsitsipas refuses to take vaccine unless it becomes mandatory on tour. World No. 3 Stefanos Tsitsipas receives a firstround bye in the Masters 1000 tournament in Cincinnati,1
"Vietnamese, Latino microinfluencers fight vaccine disinformation in San Jose. A diverse community of Instagram and TikTok stars is the latest weapon in the war against COVID19",1
Antivaccination movement tells local leaders to stop pandemic response. Cagayan de Oro Mayor Oscar Moreno and Misamis Oriental Governor Yevgeny Emano are among a number of local leaders sent notices by antivaccination advocates,1
Cebu City Sinulog festival to push through in 2022. Mayor Mike Rama cites increasing vaccinations in Cebu City as the reason for allowing Sinulog to be held in 2022  likely a hybrid of virtual and inperson shows,1
"Vaccinating elders has biggest impact on hospitalizations  analysis. Analytics and life science data firm Airfinity finds that in six highlyvaccinated countries, 'a small change in vaccine coverage for those aged over 65 can have a significant impact on hospitalization'",1
"Southeast Asia needs vaccine access to curb record deaths  Red Cross. 'In the shortterm, we need much greater efforts by richer countries to urgently share their millions of excess vaccine doses with countries in Southeast Asia,' says the Red Cross's Alexander Matheou",1
"Galvez Accessibility, other challenges hinder regional vaccinations. Vaccine czar Carlito Galvez Jr. says the government is studying a proposal to launch National Vaccine Days to ramp up vaccination rates in regions across the Philippines",1
"Chile approves Sinovac jab for children over age 6. Sinovac's CoronaVac has formed the backbone of Chile's vaccination campaign, which has seen more than 13 million of the country's 19 million inhabitants fully inoculated so far",1
Japan finds another Moderna vial suspected to contain foreign substance. Kanagawa prefecture says several black particles in one Moderna vaccine vial were found upon checking for foreign substances before its use,1
"We will not yield, French lawmaker says after death threats over vaccine pass. The proposed vaccine pass rule causes an upsurge of anger among antivaxxers, with some lawmakers subjected to violent threats",1
"White House pushes US airlines to mandate vaccines for staff by December 8. Large US airlines have a number of federal contracts, and President Joe Biden earlier signed an executive order requiring federal contractors to mandate COVID19 shots for employees",1
Minors wont get jabs in Soccsksargen yet. Health officials say at least 50% of the qualified elderly population in Soccsksargen should be vaccinated against COVID19 before they can give jabs to those aged 12 to 17,1
"Cebu City  Vaccinated senior citizens first priority in cash assistance distribution. Unvaccinated senior citizens will still get cash assistance, but at a later date",1
"Duque not consulted on scrapping quarantine for fully vaccinated travelers. 'We have some issues to raise,' says Health Secretary Francisco Duque III, who was at a Senate hearing on the DOH budget when the government task force met and agreed on the new policy",1
"Thailand develops robotic system to squeeze out more vaccine doses. Using a robotic arm, the AutoVacc system can draw 12 doses of the AstraZeneca vaccine in four minutes from a vial, researchers say",1
Vaccination drive in La Union for college students begins. The Commission on Higher Education selects La Union province to kick off the inoculation program in the Ilocos region,1
"General Santos eyes herd immunity, steps up vaccination drive. Local officials say they aim to inoculate at least 5,000 people daily, or at least 30,000 a week",1
Manmade drought Duterte blasts rich nations for hoarding vaccines. President Rodrigo Duterte also asks developed countries to fulfill their climate finance pledge for poor nations,1
US Supreme Court blocks Biden vaccineortest policy for large businesses. US President Joe Biden says it now is up to states and employers to decide whether to require workers 'to take the simple and effective step of getting vaccinated',1
Japans Takeda says human error caused contamination of Moderna vaccines. The issue was 'due to human error specific to visually misjudging the required 1mm gap between the starwheel and the stopper' of machinery which put the tops on vaccine vials,1
"Jollibee Group donates free vaccines to foundation partners. Over 1,500 partners have received their first dose of the vaccine",1
"Duterte, grateful for vaccine donations, now says he could visit US. 'Ang bait ng Amerika. Baka pupunta ako doon just to thank the American government and the people,' says the Philippine leader",1
Brazil health regulator suspends use of 12 million Sinovac vaccine shots. Brazil's health regulator says this is a 'precautionary measure' while the unauthorized plant where the vaccines were produced are being inspected,1
Delta Air Lines to add $200 monthly health insurance charge for unvaccinated staff. The move to add a surcharge to health insurance contributions is the latest tactic by corporate America to push employees to get vaccinated against COVID19,1
So the unvaxxed have to wear mask sic to protect the vaxxinated,0
The Covid19 vaccines offer very little protection against the disease.,0
COVID19 vaccines are creating the coronavirus variants,0
The Lancet shows Covid19 vaccines offers little to no protection,0
The American Red Cross said COVID19 vaccines destroy the bodies natural antibodies.,0
943 innocent kids are now injured or dead because of the COVID19 vaccine,0
Moderna COVID19 vaccine contains a cancercausing ingredient that is not fit for human use.,0
The CDC released data showing seven out of 10 Americans are declining a COVID19 vaccine,0
The U.S. Supreme Court has canceled universal vaccination,0
Says the CDCs new tracking policy is covering up cases of breakthrough COVID19 infections among vaccinated people.,0
University of Miami researchers have found that the COVID19 vaccine affects sperm production.,0
"A Centers for Disease Control and Prevention campaign says, FACT Refusing to take the vaccine is a form of racism since it harms people of color.",0
"It's illegal for a college, public school or employer to mandate the vaccine because it was authorized for emergency use.",0
Womens menstrual cycles and fertility are affected by being around people who have received COVID19 vaccines,0
Anaesthesia must not be used to those who have just received Covid19 vaccine,0
The unvaccinated have escaped every single strain or 'variant of SARSCoV2.,0
"The Pfizer COVID19 vaccine is 99% graphene oxide, which is toxic to the human body and causes a number of problems.",0
CDC officials admit more hospitalizations of young people from vaccine than from the actual COVID virus.,0
mRNA technology in COVID19 vaccines was never tested in humans.,0
The WORLD HEALTH ORGANIZATION recently reversed its stance on children getting the Covid vaccine.,0
A study found an 82% miscarriage rate among women between 30 days and 20 weeks pregnant who got an mRNA COVID19 vaccine.,0
Says the MakeAWish Foundation will grant wishes only to fully vaccinated children.,0
Funeral directors say no one is dying from COVID and the only ones dying are from the vaccine.,0
Says the Novavax COVID19 vaccine dumps millions of dangerous spike proteins right into your body.,0
920 women lose their unborn babies after getting vaccinated.,0
Airlines are meeting today to discuss the risks of carrying vaxed passengers due to the risk of clots and the liabilities involved.,0
The CDC lowered the PCR threshold while no longer recording asymptomatic cases but only for the vaccinated.,0
You cant donate plasma after getting a COVID19 vaccine.,0
COVID19 vaccines are provided at no cost only in India across the world.,0
COVID19 vaccines contain microscopic robots that can alter human DNA.,0
Covid19 vaccines cause two deaths for every three they prevent,0
"Haiti, Tanzania and Madagascar refused the COVID19 vaccines and now all three of their presidents have died unexpectedly.",0
The CDC has released data showing that 7 out of 10 Americans are declining COVID19 vaccine,0
"80% of people taking the Moderna vaccine had significant side effects, via Bill Gates.",0
It makes no sense to require vaccinations for the previously infected.,0
Five JetBlue pilots died from the COVID19 vaccine.,0
"The United Kingdom and the United States are underreporting COVID19 vaccine adverse effects, reporting only one percent of the actual number.",0
The vast majority of those now dying of COVID19 in England were vaccinated,0
Covid19 vaccines in the United States have not undergone clinical trials,0
Bill Gates and George Soros will use COVID19 tests to secretly vaccinate people who havent yet received the shots.,0
Canada prohibits all pilots who received COVID19 vaccines from flying.,0
The false or unproven claims about COVID19 vaccines in the letter addressed to the president of the Valencia College of Physicians.,0
Those who are exposed to the delta variant of the virus that causes COVID19 are twice as likely to require hospitalization if the person was vaccinated.,0
President Joe Biden Announces Americans Not Vaccinated Before 2022 Will Be Put In Camps.,0
"Vaccines alter the human genome, make people humanoids and deprive them of their human rights.",0
Patent application for Chinese COVID19 vaccine demonstrates vaccines with graphene oxide.,0
Those who are vaccinated need to use blood thinners.,0
The protein S generated by COVID19 vaccines is toxic and damages many tissues in our body.,0
"Pablo Casado, leader of the opposition in Spain, has been vaccinated with the needle cap in place.",0
The Israel Ministry of Health announced that the Covid19 vaccines are ineffective against the delta variant.,0
"SARSCoV2 is graphene, vaccines carry graphene and 5G will kill tens of thousands of Spaniards.",0
Vaccination failed to prevent severe delta variant cases in Israel.,0
Increased body magnetism after vaccination worldwide.,0
450 people died in Norway due to COVID19 despite vaccination.,0
Those who eat meat from vaccinated animals will get VAXXED by consuming the meat.,0
Those who have been vaccinated will not be able to donate blood again.,0
The administration of the Sinovac vaccine has been completely suspended.,0
"Children will be tortured with masks, temperature measurements  to instill fear, at the same time educational brainwashing to recognize fake news, and in the future they want to inject themselves with the vaccine  a genetic therapy that kills.",0
The COVID19 vaccines cause variants to emerge.,0
People who are vaccinated spread variant viruses.,0
The myth that the benefits of vaccines outweigh the risks collapses in Australia. More Australians have died from vaccines than from coronaviruses.,0
"In the Turkish Republic of Northern Cyprus, Dr. Johnson  Johnsons vaccine has been removed at the Dr. Suat Gnsel University of Kyrenia Hospital.",0
Airlines from Spain and Russia have recommended to those vaccinated against COVID19 not to travel due to the risk of suffering from blood clots on flights.,0
S proteins in vaccines are toxic.,0
The Covid19 messenger ribonucleic acid mRNA vaccines can cause people to develop a magnetic force.,0
Vaccine against COVID 19 is dangerous and ineffective because it does not protect against the Delta strain,0
All vaccines against COVID19 cause thrombosis and are dangerous for health,0
Vaccination against COVID19 causes new strains of the virus,0
4 British Airways pilots died due to vaccination against COVID19,0
People who vaccinated against COVID19 cannot fly by airplanes due to the risk of thrombosis,0
Vaccination against COVID19 redoubles coronary disease,0
"There are no more COVID19 patients in Slovenia masks, quarantines and vaccinations have been cancelled",0
G7 countries came out for forced vaccination and against a healthy lifestyle.,0
COVID19 vaccines fight the virus wrong and let the virus become worse than it would with native infection.,0
Autumn lockdown in Ukraine will be introduced only for unvaccinated.,0
NFC phones scan vaccination by applying the phone to hand.,0
"Vaccines are more dangerous than a disease caused by a virus. Since the spring of 2021, 10,000 people vaccinated with Pfizer and AstraZeneca in Europe alone have died and the death toll continues to rise.",0
"45,000 people died of receiving vaccine within 3 days and the fact is hidden.",0
"Vaccines are ineffective. Mortality rates have risen in the UK since vaccination. Haiti was the only country where vaccination did not begin and its president was assassinated. Tests will not detect the virus, its creator said. Masks do not protect against infection, this was confirmed by the published correspondence of Fauci.",0
A school headmistress became ill after receiving the second dose of vaccination and died in 5 hours.,0
60% of patients admitted to the hospital in the UK have been fully vaccinated,0
"In Australia, it is forbidden to talk in supermarkets unvaccinated people are not allowed to leave home",0
A photo depicting a largescale demonstration on the ChampsElysees shows the protests against Covid Fascism and compulsory vaccination,0
"45,000 confirmed dead from the COVID19 shots within three days and theyve covered it up.",0
Questions about whether shes been vaccinated are a violation of my HIPAA rights.,0
Americans not vaccinated before 2022 will be put in camps,0
Poster with false claims about the effects of COVID19 vaccines in children,0
Video montage shows Kamala Harris and others faking vaccination,0
