web-scraper-order,link-href,claim,label
1637040634-135,https://www.rappler.com/science/life-health/un-stockpiling-billion-syringes-covid-19-vaccine,UN stockpiling 1 billion syringes for COVID19 vaccine,1
,https://twitter.com/ReutersUK/status/1275318933361491969,Sanofi eyes approval of COVID19 vaccine by first half of 2021  httpsuk.reuters.comarticleukhealthcoronavirussanofivaccineidUKKBN23U0JXtaid5ef1a4ecb353e80001154a08utmcampaigntrueAnthem%3ATrendingContentutmmediumtrueAnthemutmsourcetwitter pic.twitter.comjgZgbbnEl8,1
,https://drive.google.com/drive/u/1/folders/1B0zKhU3_8BmZFL5IwrzmEiY5dRp73ppH?fbclid=IwAR0iJSYqFzYulnHoKbRsOx1aj3zlX4SIL_yOYBt-M2iOcU2t71OMLr0VVUw,COVID19 Vaccines are not safe,0
1642735757-142,https://www.rappler.com/newsbreak/fact-check/covid-19-mrna-vaccines-cause-infertility/,"As of Tuesday, May 18, 2021, there is no evidence that COVID19 vaccines can cause infertility. Health experts like The American College of Obstetricians and Gynecologists and government health departments like the United States Centers for Disease Control and Prevention and the Australian Department of Health say that people who plan to become pregnant in the future may receive the COVID19 vaccine.",1
,,President Donald Trump announced a vaccine by Roche Diagnostics.,0
1637034734-470,https://www.rappler.com/newsbreak/fact-check/covid-19-vaccines-contain-toxic-preservatives,Vaccines against COVID19 are filled with toxic preservatives.,0
,https://doh.gov.ph/vaccines/Questions-and-Answers?fbclid=IwAR24GBsyWYwbL4bQmCv5dxPijZTF26jGKlBTyOsIodowP67Rn60_zHYd9po,"Only vaccines which have finished the phase 4 clinical trials are provided a Certificate of Product Registration CPR which would allow the vaccines to be commercially available. To date, most of the vaccines are still in Phase 3, hence, the purchase of vaccines must be done through the tripartite agreement with the national government and manufacturers.",1
1642743578-629,https://www.rappler.com/world/us-canada/us-fda-advisers-back-moderna-boosters-older-high-risk-people/,"US FDA advisers back Moderna boosters for older, highrisk people. The vote to back Moderna's booster is 190",1
,,A WhatsApp forward has gone viral which claimed that a vaccine for coronavirus has been discovered. The viral forward also claims that the treatment for coronavirus is mentioned in Indias Intermediate Zoology book.,0
,,A publication claims that Bill and Melinda Gates didnt vaccine their kids.,0
,,"I have urged leaders across the world to work together to ensure that by this time next year, 70% of all people in every country are vaccinated against #COVID19.  DrTedros",1
,,At the #WTOPublicForum I reiterated why we need strong leadership more than ever  To remove unnecessary trade constraints so vaccines are available to those most in need To support the roll out of #COVID19 vaccines To lower trade  travel barriers during health emergencies,1
,https://doh.gov.ph/faqs/vaccines?fbclid=IwAR3kB5vvbXmMBxLpiy1DzjXG4MLTlNGy5CDjExkazbPX7EVJsFOhbYM2Ink,"The government is continuing negotiations to ensure adequate vaccine supply for all Filipinos, including those not in the priority groups.",1
1637040600-122,https://www.rappler.com/science/life-health/johnson-and-johnson-pauses-covid-19-vaccine-trial-participant-ill,Johnson  Johnson pauses COVID19 vaccine trial as participant becomes ill,1
,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-(covid-19)-vaccines?fbclid=IwAR2Xr4JRM3IvhlJP4k8-q_WQNJBg0CbshAd08RB9g6GeNM77RKCt46TA3J17,Children and adolescents above 5 years of age with comorbidities that put them at significantly higher risk of serious COVID19 may be offered vaccination alongside other high priority groups.,1
,,An image showing a COVID19 vaccine created in 2001.,0
,,A new CDCMMWR from Israel shows preliminary evidence of the effectiveness of vaccination in preventing severe cases of #COVID19. Vaccination among people who are eligible to receive a COVID19 vaccine can potentially reduce severe disease from COVID19. httpbit.lyMMWR22621,1
,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-(covid-19)-vaccines?fbclid=IwAR2Xr4JRM3IvhlJP4k8-q_WQNJBg0CbshAd08RB9g6GeNM77RKCt46TA3J54,"If you are worried about your side effects, contact your healthcare provider and let them know about your recent vaccination. ",1
,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-(covid-19)-vaccines?fbclid=IwAR2Xr4JRM3IvhlJP4k8-q_WQNJBg0CbshAd08RB9g6GeNM77RKCt46TA3J66,current data indicates that most people have strong protection against serious illness and death for at least 6 months.,1
1636390621-4,https://www.politifact.com/factchecks/2021/jun/11/instagram-posts/no-proof-speculation-covid-19-vaccine-deaths-will-/,Report Vaccine related deaths may rival recorded COVID19 deaths.,0
,https://doh.gov.ph/vaccines/Questions-and-Answers?fbclid=IwAR24GBsyWYwbL4bQmCv5dxPijZTF26jGKlBTyOsIodowP67Rn60_zHYd9po,"All vaccines shall be inspected by the DOH Inspection and Acceptance Committee upon arrival at the main warehouse facility prior to distribution to vaccination sites to ensure that the vaccines are of good quality upon arrival, full documentary requirements are present, and recommended storage temperatures are maintained.",1
,https://www.poynter.org/?ifcn_misinformation=a-screenshot-of-an-article-about-the-link-between-coronavirus-and-5g-which-dutch-news-medium-de-telegraaf-alledgedly-published-and-deleted," A screenshot of an article about the link between coronavirus and 5G, which Dutch news medium De Telegraaf alledgedly published and deleted.",0
1642743618-631,https://www.rappler.com/technology/us-attorneys-general-facebook-vaccine-disinformation-october-2021/,14 US attorneys general press Facebook on vaccine disinformation. The attorneys general want to know if the COVID19 'Disinfomation Dozen' are exempt from some of Facebook's rules,1
,,"Images showing vaccines for coronavirus have already been discovered, were patented and will be readily available.",0
,,"Plandemic  a 26minute conspiracy theory video, promoting falsehoods and misinformation about the COVID19 pandemic and vaccination plan for human depopulation",0
,https://www.poynter.org/?ifcn_misinformation=a-video-where-a-woman-dressed-like-a-chef-prepares-food-with-only-one-glove-and-she-blows-on-it-with-no-protections-the-video-would-have-been-shot-in-africa-during-the-covid-19-pandemic," A video where a woman dressed like a Chef prepares food with only one glove, and she blows on it with no protections. The video would have been shot in Africa during the COVID19 pandemic.",0
,https://www.poynter.org/?ifcn_misinformation=supermarkets-in-germany-will-only-open-on-two-days-a-week-a-screenshot-shows-a-report-about-this-from-the-media-outlet-focus, Supermarkets in Germany will only open two days a week. A screenshot shows a report from the media outlet Focus.,0
,,"A picture taken in Colombia which shows a girl who fainted. The caption claims that the vaccine for COVID19 is starting to be distributed in poorer countries, but 200 girls fainted after the injection.",0
1642744423-705,https://www.rappler.com/world/us-canada/eleven-states-sue-us-government-over-vaccine-mandate-for-federal-contractors/,Eleven states sue US government over vaccine mandate for federal contractors. 1st UPDATE The  joint lawsuit of 11 states with Republican governors describe the mandate as 'sweeping in its scope' and 'unconstitutional and unlawful',1
1642743834-647,https://www.rappler.com/business/johnson-johnson-earnings-report-q3-2021/,"JJ bullish on 2021 profits, keeps vaccine sales outlook unchanged. Johnson  Johnson still expects to sell $2.5 billion worth of COVID19 vaccine doses in 2021, though it is behind its schedule for deliveries in the United States and Europe",1
,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-(covid-19)-vaccines-and-people-living-with-hiv?fbclid=IwAR0eoocY4WKlHATa3RkcrnL9nN-jcs5M7kCsXxr4PsiJgXFy0apHSFQDnXs,People living with HIV should not be excluded from COVID19 vaccine access plans regardless of their immune status and countries ought to consider including people with HIV in a priority group for COVID19 vaccination according with their epidemiological context.,1
,,20% of human volunteers for the test for a COVID19 vaccine developed by Moderna have suffered serious adverse effects.,0
,https://twitter.com/IndiaToday/status/1266378203343368193,When will an Indian citizen have access to the #COVID vaccine kvijayraghavan responds.  Watch #Newstrack LIVE with RahulKanwal  httpbit.lyITLiveTV pic.twitter.comPKhJl1Hnmk,1
,https://doh.gov.ph/vaccines/Questions-and-Answers?fbclid=IwAR24GBsyWYwbL4bQmCv5dxPijZTF26jGKlBTyOsIodowP67Rn60_zHYd9po,"From the national central cold storage facility, vaccines will be delivered to the regional hubs  Centers for Health Development CHDs and identified provinces and cities with direct flight schedule. From the CHDs, the vaccines will be delivered to provinces and cities, or to preidentified vaccination sites   Rural Health Units RHUs, Main Health Centers, and hospitals within their catchment areas.",1
,,Posts on social media claim that people who have been vaccinated against the flu in the last 10 years will test positive for COVID19.,0
,,"#COVID19 vaccines used in the US help protect against all known variants, including Mu and Delta. Get vaccinated httpvaccines.gov ",1
,https://doh.gov.ph/vaccines/Questions-and-Answers?fbclid=IwAR24GBsyWYwbL4bQmCv5dxPijZTF26jGKlBTyOsIodowP67Rn60_zHYd9po,"An Adverse Event Following Immunization AEFI is any of the following that may arise after vaccination unfavourable or unintended sign andor symptom, abnormal laboratory finding, or disease that may arise after immunization. An AEFI may not necessarily be caused by the vaccine.",1
1637040535-98,https://www.rappler.com/world/us-canada/canada-secures-deals-millions-covid-19-vaccine-doses,Canada secures deals for millions of COVID19 vaccine doses,1
,https://www.poynter.org/?ifcn_misinformation=in-a-video-blogger-ken-jebsen-claims-bill-gates-took-control-over-the-health-system-to-force-his-vaccines-upon-everyone-he-funds-80-percent-of-the-who-in-germany-people-are-arrested-because-they-ca," In a video, blogger Ken Jebsen claims Bill Gates took control over the health system to force his vaccines upon everyone. He funds 80 percent of the WHO. In Germany people are arrested because they carry the constitution Grundgesetz. Germany secretly wants to impose compulsory vaccines in a new law, and COVID19 is just a harmless flu",0
,https://twitter.com/ReutersUK/status/1262398796174102528,Moderna's experimental COVID19 vaccine shows promise in earlystage study  httpsuk.reuters.comarticleukhealthcoronavirusmodernaidUKKBN22U1O6taid5ec2a41cd45cf90001648665utmcampaigntrueAnthem%3ATrendingContentutmmediumtrueAnthemutmsourcetwitter pic.twitter.comV68bCEncdm,1
,https://www.who.int/news-room/feature-stories/detail/side-effects-of-covid-19-vaccines?fbclid=IwAR00VsoRmucLQc_pS1vkTmMk0akNCV8UcrG4Syx7TBrheZVRQlcx9lPVa4w,"Experiencing side effects after getting vaccinated means the vaccine is working and your immune system is responding as it should. Vaccines are safe, and getting vaccinated will help protect you against COVID19.",1
,,"If the shot actually saved lives, theyd be priced so high that you literally could not afford them, you know like insulin.",0
,,Residents in longterm care settings are disproportionately affected by #COVID19 disease. Learn more about what CDC and its partners are doing to provide residents and staff access to COVID19 vaccines httpsbit.lylongtermcarevax.,1
,,"Elisa Granato 32yearold, the first woman to get vaccine for COVID19, died.",0
,,#Pediatricians Parents trust you as a source of information on #COVID19 vaccines. Your strong vaccine recommendation is important. Remind parents that getting all family members 12 yrs  older vaccinated can help protect them and those around them. More httpsbit.ly2WGycZ3,1
,,The new coronavirus vaccine has digitizable RNA that is activated by 5G and can reactivate the virus.,0
,,Israel and USA have come up with a vaccine.,0
,https://drive.google.com/drive/u/1/folders/1B0zKhU3_8BmZFL5IwrzmEiY5dRp73ppH?fbclid=IwAR0iJSYqFzYulnHoKbRsOx1aj3zlX4SIL_yOYBt-M2iOcU2t71OMLr0VVUw,There are no proven medicines that can prevent COVID19. But vaccines are PROVEN to protect us from SEVERE CASES and DEATH.,1
,https://twitter.com/ReutersUK/status/1275111343524319232,Thai trials of COVID19 vaccine reach makeorbreak stage  httpsuk.reuters.comarticleushealthcoronavirusthailandvaccineidUKKBN23T1LVtaid5ef0e396b353e800011546ccutmcampaigntrueAnthem%3ATrendingContentutmmediumtrueAnthemutmsourcetwitter pic.twitter.comstFvu3PhJx,1
,https://doh.gov.ph/Vaccines/What-you-can-safely-do-after-receiving-the-COVID-19-vaccine,"If your symptoms got worse or did not resolve within 3 days, consult your doctor or nearest facility if they dont resolve after 3 days, or if they worsen after one day.",1
,,"Plandemia This video claims that the coronavirus was created in a laboratory, and that it is a plan to reduce the population where vaccines and abortion are involved, among many other claims.",0
,,Donald Trump announced that Roche will launch a vaccine for coronavirus next Sunday.,0
,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-(covid-19)-vaccines?fbclid=IwAR2Xr4JRM3IvhlJP4k8-q_WQNJBg0CbshAd08RB9g6GeNM77RKCt46TA3J68,"People with compromised immune systems dont always develop maximum immunity against COVID19 after one or two doses, so may need an additional dose to protect them.",1
,,Video of American President Donald Trump announcing that Roche Medical Company will launch the vaccine for COVID19.,0
,,President Donald Trump announced commercialization of a vaccine.,0
,https://twitter.com/ReutersUK/status/1263961598332370945,How one Indian company could be world's door to a COVID19 vaccine  httpsuk.reuters.comarticleushealthcoronavirusindiaseruminsighidUKKBN22Y2BItaid5ec85395c4c54c00017f12a7utmcampaigntrueAnthem%3ATrendingContentutmmediumtrueAnthemutmsourcetwitter pic.twitter.comhVhqTBZXk0,1
,https://www.poynter.org/?ifcn_misinformation=posts-on-social-media-claim-that-people-who-have-been-vaccinated-against-the-flu-in-the-last-10-years-will-test-positive-for-covid-19, Posts on social media claim that people who have been vaccinated against the flu in the last 10 years will test positive for COVID19.,0
,,"Providers and volunteers of homeless services Continue wearing masks and keeping at least 6 feet from others in shelters, even if youve been fully vaccinated against #COVID19. All clients should wear a mask and keep 6 feet apart, too. More httpsbit.ly3ahPIn0 ",1
,,Getting a flu shot increases the risk of coronavirus by 36%.,0
,https://www.poynter.org/?ifcn_misinformation=existence-of-a-vaccination-summit-may-be-a-sign-that-vaccination-will-become-mandatory-in-third-world-countries-coronavirus-vaccine-will-be-tested-on-african-population-and-then-on, Existence of a vaccination summit may be a sign that vaccination will become mandatory in third world countries. Coronavirus vaccine will be tested on African population and then on the white population in third world countries in a mandatory order.,0
,,People in Ukraine will be forcibly vaccinated against the new coronavirus.,0
1637034546-443,https://www.rappler.com/newsbreak/fact-check/covid-19-vaccine-more-dangerous-than-disease-itself, The COVID19 vaccine is more dangerous than the disease it promises to fight.,0
,https://drive.google.com/drive/u/1/folders/1B0zKhU3_8BmZFL5IwrzmEiY5dRp73ppH?fbclid=IwAR0iJSYqFzYulnHoKbRsOx1aj3zlX4SIL_yOYBt-M2iOcU2t71OMLr0VVUw,I don't need to get vaccinated because I can still get sick with the disease even after I get the shot.,0
1642735389-107,https://www.rappler.com/newsbreak/fact-check/deaths-germany-after-receiving-pfizer-covid-19-vaccine/,"Germanys federal institute for vaccines says all deaths were seriously ill patients, and finds no causal relationship to vaccination.",1
1642744956-762,https://www.rappler.com/business/healthcare-giant-johnson-johnson-split-two-companies/,"JJ to spin off consumer products, focus on pharmaceuticals. 1st UPDATE Johnson  Johnson aims to complete the separation in 18 to 24 months at a cost of $500 million to $1 billion",1
,,A vaccine for coronavirus was available since 2001.,0
,,Israel has found a cure and a vaccine for coronavirus.,0
,,COVID19 vaccines are only provisionally approved in Australia while there is a state of emergency. They cannot be administered when the emergency ends.,0
,https://doh.gov.ph/Vaccines/What-you-can-safely-do-after-receiving-the-COVID-19-vaccine,the reports of people dying were of people who died DUE TO COVID19 and not because of the vaccine.,1
,,"According to a BBC News screenshot, seven coronavirus victims in Rwanda were shot dead by unknown gunmen.",0
,,An article has been shared on social media that says the US CDC has warned of a poliolike illness and is being linked to sideeffects of coronavirus vaccine.,0
,https://www.poynter.org/?ifcn_misinformation=a-message-sent-by-whatsapp-states-that-the-ministry-of-defense-of-china-has-announced-that-it-has-successfully-developed-a-vaccine-against-the-new-coronavirus-which-causes-covid-19-disease-portuga," A message sent by WhatsApp states that the Ministry of Defense of China has announced that it has successfully developed a vaccine against the new coronavirus, which causes COVID19 disease. Portugal would receive the first doses in a few days.",0
,https://drive.google.com/drive/u/1/folders/1B0zKhU3_8BmZFL5IwrzmEiY5dRp73ppH?fbclid=IwAR0iJSYqFzYulnHoKbRsOx1aj3zlX4SIL_yOYBt-M2iOcU2t71OMLr0VVUw,COVID19 Vaccines underwent a series of studies Clinical Trials and certifications Philippine FDA Approval to ascertain its safety. Vaccines are safe!,1
,,COVID19 vaccine Serum Institute's Adar Poonawalla says India to have vaccine by December,1
,https://www.poynter.org/?ifcn_misinformation=an-audio-where-an-unidentified-person-links-the-virus-that-causes-covid-19-with-the-massive-flu-vaccination-campaign, An audio where an unidentified person links the virus that causes COVID19 with the massive flu vaccination campaign.,0
,https://www.poynter.org/?ifcn_misinformation=the-vaccine-is-not-the-final-solution-against-the-novel-coronavirus, The vaccine is not the final solution against the novel coronavirus.,0
,,The citizens can deny mandatory vaccination if they ask a specific set of questions to their doctor. Also every vaccine contains MRC5 cells from aborted fetuses.,0
1642735779-144,https://www.rappler.com/newsbreak/fact-check/animal-testing-skipped-covid-19-vaccines/,"Animal testing was done for the COVID19 vaccines by Pfizer, Moderna, and Johnson  Johnson, each of which has emergency use authorization EUA in the US. It was also done for the AstraZeneca and Novavax vaccines.",1
,,A YouTube video claiming that in 2014 Bill Gates patenteted the vaccine againt COVID19.,0
1637040548-103,https://www.rappler.com/world/asia-pacific/china-shows-off-coronavirus-vaccines-first-time,China shows off COVID19 vaccines for first time,1
1637040517-91,https://www.rappler.com/nation/philippines-eyes-clinical-trials-russia-coronavirus-vaccine-safety-concerns-raised,PH eyes clinical trials for Russian COVID19 vaccine as safety concerns raised,1
,,Indias first Covid19 vaccine races to meet midAugust target,1
1642744875-755,https://www.rappler.com/business/astrazeneca-to-set-up-division-vaccines-antibody-therapies/,"AstraZeneca to set up division for vaccines and antibody therapies. The new division will combine research and development, manufacturing, as well as commercial and medical teams",1
,https://doh.gov.ph/vaccines/Questions-and-Answers?fbclid=IwAR24GBsyWYwbL4bQmCv5dxPijZTF26jGKlBTyOsIodowP67Rn60_zHYd9po,DOH will have central access to all of this data including those that are vaccinated. It is stored centrally at DICT. DOH CHDs have been given access to their appropriate data.,1
1637034569-444,https://www.rappler.com/newsbreak/fact-check/covid-19-vaccines-weapons-mass-destruction,"A certain Vernon Coleman says, COVID19 vaccines are weapons of mass destruction and could end the human race.",0
,https://www.who.int/news-room/feature-stories/detail/getting-the-covid-19-vaccine?fbclid=IwAR2UhA3vYgo1h4-V8MaDPOKFw9ZLER5GUE6OlXwkF9wAwNSjRwhMprW0mQo,"Because of the urgent need for a COVID19 vaccine, initial clinical trials of vaccine candidates were performed with the shortest possible duration between doses. Therefore an interval of 2128 days 34 weeks between doses is recommended by WHO. Depending on the vaccine, the interval may be extended for up to 42 days  or even up to 12 weeks for some vaccines  on the basis of current evidence.",1
,,"The Gates Foundation tested a polio vax in India between 2000  2017 and paralysed 496,000 children.",0
,,"A Facebook page uploaded an interview with a man who supposedly got cured of COVID19 through salt water steam inhalation therapy, and told readers the answer is not a vaccine but salt.",0
,,"College  University Administrators Vaccines are the top strategy to protect students, faculty,  staff from getting and spreading #COVID19 on campus. Learn more on how vaccines  other strategies slow the spread on campuses  in the community httpsbit.ly3fYngcX.",1
,,"A post shared hundreds of times on Facebook claims that Didier Raoult, a French specialist in infectious diseases, is urging Africans not to take Bill Gates vaccine against coronavirus as it contains poison.",0
,,President Donald Trump will announce that a scientist finally found a vaccine to cure coronavirus.,0
1643699770-946,https://www.snopes.com/fact-check/nhs-covid-bells-palsy/,A photograph shows an official poster from the National Health Service warning that the COVID19 vaccine causes Bell's palsy.,0
,https://doh.gov.ph/vaccines/Questions-and-Answers?fbclid=IwAR24GBsyWYwbL4bQmCv5dxPijZTF26jGKlBTyOsIodowP67Rn60_zHYd9po,"Specific guidelines for the implementation of vaccine storage, handling, and transfer shall be in line with the corresponding EUA provisions issued by the Philippine FDA for each vaccine. Cold chain management requirements shall be maintained from manufacturing, storage, and distribution of vaccines to ensure integrity of vaccine compounds.",1
,,US strikes $1.5bn deal for 100mn doses of Moderna Covid vax,1
,https://www.who.int/news-room/feature-stories/detail/getting-the-covid-19-vaccine?fbclid=IwAR2UhA3vYgo1h4-V8MaDPOKFw9ZLER5GUE6OlXwkF9wAwNSjRwhMprW0mQo,People who have already been infected with SARSCoV2 should still get vaccinated unless told otherwise by their health care provider.,1
,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-(covid-19)-vaccines?fbclid=IwAR2Xr4JRM3IvhlJP4k8-q_WQNJBg0CbshAd08RB9g6GeNM77RKCt46TA3J41,Viral vector vaccines use a safe virus that cannot cause disease but serves as a platform to produce coronavirus proteins to generate an immune response.,1
,,Bill Gates said thousands of people will die with the COVID19 vaccine,0
,,Content claiming that the first woman in the UK to try the experimental coronavirus vaccine has died.,0
,,"No, This is Not Bharat Biotech VP Being Injected With Covaxin",0
,https://twitter.com/ReutersUK/status/1261077600065277953,Sanofi says COVID19 vaccine will be available worldwide simultaneously  httpsreut.rs2T9fKmR pic.twitter.comi2DfnRvY1P,1
,,"45,000 confirmed dead from the COVID19 shots within three days and theyve covered it up.",0
1637034355-431,https://www.rappler.com/newsbreak/fact-check/covid-19-mrna-vaccines-cause-infertility,"The COVID19 vaccines, specifically the ones that use mRNA, cause infertility.",0
,https://www.poynter.org/?ifcn_misinformation=bill-gates-and-microsoft-have-patented-a-cryptocurrency-from-satan-666-and-a-microchip-tattooed-to-control-humans-the-microchip-would-be-inserted-with-coronavirus-vaccines, Bill Gates and Microsoft have patented a cryptocurrency from Satan 666 and a microchip tattooed to control humans. The microchip would be inserted with coronavirus vaccines.,0
,,COVID19 vaccine candidates will insert microchips in humans.,0
,,"Almost everyone in the United States lives within 5 miles of a #COVID19 vaccination site. As of June 7, 2021, more than 171 million people had received at least one dose of vaccine. Of those, over 139 million are fully vaccinated. More httpbit.lyCDTvaccine.",1
,https://www.poynter.org/?ifcn_misinformation=the-bcg-bacillus-camette-guerin-vaccine-for-tuberculosis-can-protect-people-from-covid-19, The BCG Bacillus Camette  Guerin vaccine for tuberculosis can protect people from COVID19.,0
,,A video of Italian politician Sara Cunial blasting Bill Gates as a vaccine criminal in speeches to parliament has been viewed tens of thousands of times on Facebook and YouTube.,0
,https://twitter.com/the_hindu/status/1239761220736962560,"As a precautionary measure in the wake of COVID19 outbreak, the Punjab and Haryana High Court has decided to restrict its functioning to urgent cases till further orders.#CoronavirusOutbreak httpbit.ly2vqTYSO",1
,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-(covid-19)-vaccines?fbclid=IwAR2Xr4JRM3IvhlJP4k8-q_WQNJBg0CbshAd08RB9g6GeNM77RKCt46TA3J87, Getting vaccinated is the best thing you can do to protect yourself and the future health of your baby. ,1
,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-(covid-19)-vaccines?fbclid=IwAR2Xr4JRM3IvhlJP4k8-q_WQNJBg0CbshAd08RB9g6GeNM77RKCt46TA3J37,A small percentage of people will still get ill from COVID19 even though they have been vaccinated.,1
